status,occurrence_key,institutionCode,family,species,license,width,height,dorsal_score,raw_path,skeleton_path,url
accepted,2446312268,NHMUK,Papilionidae,Trogonoptera brookiana,http://creativecommons.org/licenses/by/4.0/,1440,960,0.8084,0.3157,0.9980,0.9971,0.0000,0.0015,museum_butterfly_dorsal/raw_images/nhmuk_2446312268.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446312268_skeleton.png,https://data.nhm.ac.uk/media/5dcaf897-4317-4d09-9f2e-510d66db315b
reject_not_dorsal,4910266604,NHMUK,Papilionidae,Papilio fuscus,http://creativecommons.org/licenses/by/4.0/,1440,1080,0.5991,0.2953,0.9980,0.9974,0.0000,0.0058,,,https://data.nhm.ac.uk/media/e26b9882-ce8c-45ec-8c20-42ae5500839f
accepted,2446313079,NHMUK,Papilionidae,Trogonoptera brookiana,http://creativecommons.org/licenses/by/4.0/,1440,960,0.8430,0.3148,0.9980,0.9971,0.0000,0.0013,museum_butterfly_dorsal/raw_images/nhmuk_2446313079.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446313079_skeleton.png,https://data.nhm.ac.uk/media/0d5fcdf8-91f0-4c9c-a533-1d465bd5c498
accepted,2446312733,NHMUK,Papilionidae,Trogonoptera brookiana,http://creativecommons.org/licenses/by/4.0/,1440,960,0.8323,0.3650,0.9980,0.9971,0.0000,0.0025,museum_butterfly_dorsal/raw_images/nhmuk_2446312733.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446312733_skeleton.png,https://data.nhm.ac.uk/media/e2afff98-38cc-4183-b171-888d88b00cd8
accepted,2446314162,NHMUK,Papilionidae,Troides helena,http://creativecommons.org/licenses/by/4.0/,1440,960,0.7575,0.3731,0.9980,0.9971,0.0000,0.0075,museum_butterfly_dorsal/raw_images/nhmuk_2446314162.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446314162_skeleton.png,https://data.nhm.ac.uk/media/f35a40ca-6281-437b-ac1e-df012c778032
accepted,2446091912,NHMUK,Papilionidae,Ornithoptera priamus,http://creativecommons.org/licenses/by/4.0/,1440,960,0.7648,0.3632,0.9932,0.9971,0.0049,0.0001,museum_butterfly_dorsal/raw_images/nhmuk_2446091912.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446091912_skeleton.png,https://data.nhm.ac.uk/media/6ed11c13-bdaa-466a-8483-0ced9307a105
reject_not_dorsal,4910226946,NHMUK,Papilionidae,Papilio fuscus,http://creativecommons.org/licenses/by/4.0/,1440,1080,0.6163,0.3065,0.9980,0.9974,0.0000,0.0134,,,https://data.nhm.ac.uk/media/5f08a93f-06e4-423c-b7fa-0f86de160aaf
accepted,2446313079,NHMUK,Papilionidae,Trogonoptera brookiana,http://creativecommons.org/licenses/by/4.0/,1440,960,0.8214,0.3227,0.9980,0.9971,0.0000,0.0020,museum_butterfly_dorsal/raw_images/nhmuk_2446313079.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446313079_skeleton.png,https://data.nhm.ac.uk/media/1093ea10-659a-4362-a48c-9bb206c6b26f
accepted,2446092413,NHMUK,Papilionidae,Ornithoptera priamus,http://creativecommons.org/licenses/by/4.0/,1440,960,0.7489,0.4160,0.9941,0.9971,0.0039,0.0009,museum_butterfly_dorsal/raw_images/nhmuk_2446092413.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446092413_skeleton.png,https://data.nhm.ac.uk/media/fa84c719-f29f-40dd-b712-1c58e61fc140
accepted,2446115881,NHMUK,Papilionidae,Ornithoptera priamus,http://creativecommons.org/licenses/by/4.0/,1440,960,0.7844,0.3839,0.9980,0.9971,0.0000,0.0003,museum_butterfly_dorsal/raw_images/nhmuk_2446115881.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446115881_skeleton.png,https://data.nhm.ac.uk/media/cd646718-2bfe-4ad7-9a0d-2059ba5298dd
accepted,2446115886,NHMUK,Papilionidae,Ornithoptera priamus,http://creativecommons.org/licenses/by/4.0/,1440,960,0.7945,0.4231,0.9980,0.9956,0.0015,0.0007,museum_butterfly_dorsal/raw_images/nhmuk_2446115886.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446115886_skeleton.png,https://data.nhm.ac.uk/media/b35b7ba4-f27a-4538-82da-238815f44369
